날짜,글 제목,게시글 URL,댓글,조회수,쪽지 수량,작업자
2026-01-23,눈밑지방재배치 다크랑 지방 동시에 잡아주는 곳이요,https://cafe.naver.com/feko/10335167,2,50,,박민정 매니저
2026-01-23,매몰 눈재수술 최종 상담용,https://cafe.naver.com/feko/10333709?art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtc2hhcmUtbGluaw.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjEwMzMzNzA5LCJpc3N1ZWRBdCI6MTc2OTEzODI5NTI1NywiY2FmZUlkIjoxMDkxMjg3NX0.Gstq8ZbPv8v3d2lLm0xXRCR8IrmtfKW_fOjc2-Y4kNs,3,31,,박민정 매니저
2026-01-23,신논현 복코 매부리 잘 봐주는 병원,https://cafe.naver.com/feko/10334099,10,45,,박민정 매니저
2026-01-22,콧대보다 코끝이 고민이요...예쁘게 디자인 잡아주는 병원 있을까요,https://cafe.naver.com/feko/10326631,7,48,,박민정 매니저
2026-01-22,세미아웃 만족하신 분들 병원 추천 부탁드려요,https://cafe.naver.com/feko/10326144,8,27,,박민정 매니저
2026-01-21,자연유착 안풀리게 해주는 곳 추천해주세요,https://cafe.naver.com/feko/10327546,13,116,,박민정 매니저
2026-01-20,눈밑지방재배치 이벤트 신청 했어요,https://cafe.naver.com/feko/10322829,0,33,,박민정 매니저
2026-01-20,코 상담 이정도면 될까요? ㅜㅜ,https://cafe.naver.com/feko/10321843,2,30,,박민정 매니저
2026-01-19,짧고 낮은 복코 병원 추천해주세요🥹,https://cafe.naver.com/feko/10317787,14,70,,박민정 매니저
2026-01-19,라라 루브르 상담 잡기 힘든 편인가요?,https://cafe.naver.com/feko/10317078,4,36,,고서진 팀장
2026-01-19,자연유착 + 트임 같이 잘하는 병원 추천해주세요,fhttps://cafe.naver.com/feko/10316729,,,,고서진 팀장
2026-01-19,눈재수술 고민중... 라라성형외과 상담 먼저 가보려구요,https://cafe.naver.com/feko/10316157,2,32,,고서진 팀장
2026-01-16,매몰 재수술 병원 더 없을까요..?,https://cafe.naver.com/feko/10309780,4,54,,박민정 매니저
2026-01-16,복코 매부리 어디가 잘 해요?,https://cafe.naver.com/feko/10309399,18,95,,박민정 매니저
2026-01-15,눈재수술은 꼭 절개로 해야하나요?,https://cafe.naver.com/feko/10306223,5,64,,고서진 팀장
2026-01-15,매부리 + 복코 교정 어디서 할지 머리 터질듯,https://cafe.naver.com/feko/10305346,9,59,,고서진 팀장
2026-01-14,댓글 추천으로 추린 세미아웃 자연유착 병원... 일미리 라라 옐로우 아몬드 요즘 상담 어때요?,https://cafe.naver.com/feko/10301616,3,178,,고서진 팀장
2026-01-14,눈 재수 상담 갑니다요,https://cafe.naver.com/feko/10300189,4,48,,박민정 매니저
2026-01-13,"복코에 매부리, 코 휘어짐까지.... 코수술 진짜 고민되네요",https://cafe.naver.com/feko/10295882,9,50,,고서진 팀장
2026-01-13,전체 이미지 맞게 눈수술 고민중이에여... 세미아웃 잘하는 병원 찾는 중,https://cafe.naver.com/feko/10294508,0,8,,고서진 팀장
2026-01-12,눈재수술 병원 고를 때 후기 말고 봐야 할 기준이 뭘까요,https://cafe.naver.com/feko/10290590,4,48,,고서진 팀장
2026-01-09,매몰에서 매몰로 재수술 해보신분!!,https://cafe.naver.com/feko/10283969,2,67,,박민정 매니저
2026-01-08,복코에 매부리까지...코 라인 때문에 요즘 계속 고민돼요,https://cafe.naver.com/feko/10280717,10,191,,고서진 팀장
2026-01-08,눈재수술 상담 가기 전 리스트 고민,https://cafe.naver.com/feko/10280187,1,20,,고서진 팀장
2026-01-08,눈밑지방재배치 이벤트하는 병원 어디?,https://cafe.naver.com/feko/10278606,4,98,,박민정 매니저
2026-01-07,세미아웃라인 자연유착 잘 하는 병원 찾아요,https://cafe.naver.com/feko/10276343,13,225,,고서진 팀장
2026-01-06,자연유착 병원 정했어요!,https://cafe.naver.com/feko/10271138,2,44,,박민정 매니저
2026-01-05,무보형물 수술 잘 하시는 원장님 추천좀요,https://cafe.naver.com/feko/10266102,15,163,,박민정 매니저
2026-01-02,자연유착으로 눈 재수술 해주는 곳 어딘가요ㅜㅜㅜ,https://cafe.naver.com/feko/10259245,13,158,,박민정 매니저
2026-01-02,코 자연스럽게 잘하는 병원 알려주세요,https://cafe.naver.com/feko/10258910,18,143,,박민정 매니저
2025-12-31,자연유착 상담 가는데 도와주세요,https://cafe.naver.com/feko/10254763,2,33,,박민정 매니저
2025-12-29,코 알아보다가 눈부터 수술하기로 급 결심!,https://cafe.naver.com/feko/10247025,2,31,,고서진 팀장
2025-12-29,얇은 라인 자연유착 병원 알려주세요!!,https://cafe.naver.com/feko/10245995,10,167,,박민정 매니저
2025-12-24,눈꺼풀 처짐 때문에 눈재수술 고민! 원장님 잘 보는 곳으로 추천해주세요,https://cafe.naver.com/feko/10237288?art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtc2hhcmUtbGluaw.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjEwMjM3Mjg4LCJpc3N1ZWRBdCI6MTc2NjU2NTYyMzY0MSwiY2FmZUlkIjoxMDkxMjg3NX0._xq-tbFfPaJfEo5BQMu_nTIRVENr8l0ZEkpkOzD9CFM,3,128,,고서진 팀장
2025-12-24,자연유착 병원정하기 어렵네,https://cafe.naver.com/feko/10234688,6,131,,박민정 매니저
2025-12-16,,https://cafe.naver.com/feko/10208840,0,0,,고서진 팀장
2025-12-15,자연유착 상담 받고왔어요!!,https://cafe.naver.com/feko/10203673,5,43,,박민정 매니저
2025-12-11,20대에 했던 쌍수 30대 되니 라인이 내려오네요 ㅠ 재수술 해보신 분?,https://cafe.naver.com/feko/10192863,13,171,,고서진 팀장
2025-12-11,눈밑지방 때문인지 불룩하고 다크가 심해요!!,https://cafe.naver.com/feko/10191395,7,67,,고서진 팀장
2025-12-09,라라 눈밑지방재배치 상담 다녀왔어요~,https://cafe.naver.com/feko/10181474,1,44,,박민정 매니저
2025-12-09,자연유착 눈매교정 같이 받고 싶어요,https://cafe.naver.com/feko/10181333,14,122,,고서진 팀장
2025-12-08,자연유착 눈매교정 손품 중.. 우선 병원 4곳 추렸어여,https://cafe.naver.com/feko/10177194,3,85,,고서진 팀장
2025-12-05,비절개 인중축소 궁금해서 라라성형외과 상담 받아본 후기,https://cafe.naver.com/feko/10172921,83,833,16,고서진 팀장
2025-12-05,"자연유착 노상훈,워나,라라,일미리 어떤가요?",https://cafe.naver.com/feko/10172373,5,370,,박민정 매니저
2025-12-04,눈밑지방재배치 잘하는 곳 어디있을까요?,https://cafe.naver.com/feko/10168400,16,229,,박민정 매니저
2025-12-03,쌍수 자연스럽게 해주는 병원 상담 다녀오려고요,https://cafe.naver.com/feko/10162324,17,172,,고서진 팀장
2025-12-01,눈매교정이랑 트임 고민하다가 병원 3곳으로 추렸어유 ㅎㅎㅎ,https://cafe.naver.com/feko/10154139,2,50,,강미선 매니저
2025-12-01,윤곽수술 하고나니까 눈도 하고싶어져요,https://cafe.naver.com/feko/10153419,11,74,,강미선 매니저
2025-11-28,설리 김고은 같은 입매가 부러워서 비절개 인중 축소 고민하고 있어요,https://cafe.naver.com/feko/10148403,4,430,,강미선 매니저
2025-11-28,얇은 속쌍에 답답해보이는 눈인데..,https://cafe.naver.com/feko/10146558,5,68,,강미선 매니저
2025-11-26,얇은 자연쌍꺼풀인뎅 또렷함이 부족해서.. 눈매교정이랑 트임 고민 중이에유ㅠㅠㅠ,https://cafe.naver.com/feko/10137849,6,40,,강미선 매니저
2025-11-26,눈밑지 받으려고 리스트 정리했는데 여기서 해보신 분 계실까요?,https://cafe.naver.com/feko/10136482,9,232,,강미선 매니저
2025-11-25,자연유착+눈매교정 하려고 마음 먹었어여..,https://cafe.naver.com/feko/10132631,6,98,,강미선 매니저
2025-11-24,눈밑지방재배치 받아야 할 것 같아요 ㅠ,https://cafe.naver.com/feko/10129561,2,48,,강미선 매니저
